mode,time_s,net_kwh,discharge_kwh
accel,1339.5899999987816,2.823797411777757,2.823797411777757
other,285.71999999974014,0.40018311791668154,0.40018311791668154
cruise,1014.3199999990775,0.21927551413888705,0.22371681838888705
braking,48.49999999995589,0.01572713541667056,0.017670373083337406
idle,500.85999999954447,0.0010214594444443036,0.0010241647499998566
regen,0.11999999999989086,-3.6401194444411336e-05,0.0
hard_brake,0.0,0.0,0.0
